start_id_a,start_name_a,start_id_b,start_name_b,meeting_step,meeting_id,meeting_name
ba2b16a8-1273-45d2-8758-47b9694df9a6,Dornig,7554bb81-1144-4263-999d-f6e358d808fe,Baron,5001,TIMEOUT,TIMEOUT
8fc42c89-96e2-4c69-a2b4-44d505f27ce9,NS RUDNIK,3429cda2-6047-453c-bf54-952dfa6674c0,Klinični center,1024,b2cf1f2c-3c77-4a23-891f-3cdbcda92f19,Škofljica žaga
daf172e0-4dd9-4d5b-8287-67ad2034bced,Stadion,21fba303-9465-42e6-8942-eaff85a2b40c,Zidarjevec 2,5001,TIMEOUT,TIMEOUT
36d25599-0bed-48a0-bcb4-134be8a959fe,Emona,dadea785-0c6b-4054-9882-37227de3df4b,Pošta Dobrunje,5001,TIMEOUT,TIMEOUT
f8da5156-e545-47ed-a811-2242f41f5593,Mercator,5d91512b-af7f-4bbe-9dde-17f402fbf590,Sneberska,1538,eee355cc-98a1-4f25-8bf9-0100856eda6e,Za travniki
77dcd833-fa4d-4c5a-93b1-31284942e61d,Šišenska,48e907fd-e868-47cd-8cac-74c7d4582944,Poljanska,1725,b905ae6a-f1e1-4057-8923-481902ed5a8e,Konzorcij
ea80411c-360d-4a33-861c-6533a1d67eef,Park varne mobilnosti,3f0c15b3-99bd-4c12-8f7a-df06c9536526,Pod Sivnikom,4749,ee7e3c65-72e8-465e-a9a3-a9370ec1f314,Vevče Papirnica
f73d3fb2-082c-4518-8af2-45de5490df4e,LITOSTROJ,e9089f7d-853e-4375-8ecb-0db96fcc60e6,OŠ Jezero,576,25ad5579-f6a0-4f35-a0c9-0678b41e9dde,Križanke
1f9fad8e-d59c-494c-bdd1-1983afacb755,Kodrova,54c591c0-7bbb-4489-9229-57b18f95827a,Stara cerkev,275,4bd4913f-8597-4ea0-b219-4e9b15dcbb62,Jarše
d9a82add-03d0-47d8-9f35-117b7a5ded44,Gerbičeva,a12cff7f-91e5-4f1e-be40-1a9b34ae792a,Agrokombinatska,1993,6c773433-c487-49c5-a783-32c0e276ed7b,Dolgi most Rotar
6739536d-b334-46c6-ae80-4890afac7985,Lavrica,6c773433-c487-49c5-a783-32c0e276ed7b,Dolgi most Rotar,5001,TIMEOUT,TIMEOUT
03375155-45fb-4565-b392-2349fcb199ea,Kardeljeva ploščad,9746f277-af08-4cce-92fa-41da5eca8ac2,BERIČEVO,5001,TIMEOUT,TIMEOUT
1b0f629f-acdb-4e94-8c54-018f4334ebf7,Križišče Sostro,6cc5af3b-67ea-47f3-9e8a-10946c32b906,V. Lipljene,5001,TIMEOUT,TIMEOUT
d07152fd-014c-481b-a5f2-8949066499e8,Grosuplje SM,4f21a18a-3cb0-4c6c-bb92-e7c8945fac1c,Bratov Učakar,5001,TIMEOUT,TIMEOUT
1faa072c-478b-4656-8df3-84167a9a4bbb,Dravlje,e0f10330-ad34-453d-baf4-d6c601cb6cf8,Blaževo,5001,TIMEOUT,TIMEOUT
087e50b6-7677-4a85-802f-5694266fe38b,Aškerčeva,807c11ba-4b3a-4e2b-82b5-abf5864fa4bc,Pot na Fužine,294,6efecef0-52ba-4a47-9991-9bab5ce31340,Ajdovščina
5c246f67-4431-4968-8d64-2ae4b823e360,Na Gmajnici,087e50b6-7677-4a85-802f-5694266fe38b,Aškerčeva,2759,010c271e-49ca-45a5-91ac-8ba8d41ee7f3,Čerinova
17f7d178-41b3-41f9-a545-cbfc22a0a5f1,Nusdorferjeva,de80f5fd-4572-4bb6-9e21-9860f5fa6b24,Ihan Termit,1954,c6dd10bd-c21f-4a0c-9c7d-99e488a173d4,Šentjakob
bb1ac8b9-5cb2-49f2-8d5c-d7fe4afdd5dd,Cesta na Vrhovce,f07c916c-6fc6-4acf-a334-0ab0d3c4f57f,Središka,1878,a719a87c-4e93-4387-a6d1-2631a487f7e0,Ajdovščina
223f660b-c391-4120-bf3c-7bf06781686b,Tovorni kolodvor,99b82632-116f-421b-9320-d5a53e522155,Podpeč,3285,6efecef0-52ba-4a47-9991-9bab5ce31340,Ajdovščina
45b36327-9a1a-4cd5-8261-53217326b22f,Podlipoglav,b9edd39a-4f64-4553-869e-bb77e617b9b8,Stanežiče,2008,38b3abed-0592-407b-96c3-85a026f2e192,Dalmatinova
a2f479c6-4c21-4923-b4ac-86f752507cee,GROSUPLJE,30131bc3-a0f7-4cfc-9e4d-552b325c0ba7,Radna,5001,TIMEOUT,TIMEOUT
49f28358-bfda-458e-a4b3-a45f602765c1,POLICA/VIŠ. G.,9e0942f3-2c18-4891-9b51-9d95cc43af7a,Blaževo,5001,TIMEOUT,TIMEOUT
9276fcfb-0f7e-4df3-b827-325600851526,Topniška,c93954aa-7aad-4fca-9f7a-721d37f0474e,NS Rudnik,249,aa42017d-812a-4175-bc9b-0fec03b18931,Ambrožev trg
e82569a6-73f3-4002-b7b5-0f83ee167535,Silos,9845a6f7-ba79-4f3d-b6ae-969651ef6001,Tomačevska,4775,bb995fbb-29c8-4035-9503-ae33320833a8,Cesta v Zavoglje
d7a59d1b-dfe1-4fbb-96fc-14443b077516,Vevče Papirnica,06e4802d-2c96-4556-bd95-35e0a2bb030c,M. Lipljene,5001,TIMEOUT,TIMEOUT
9c2e9262-7afe-44d3-8aaf-80afd45f9118,Kozarje,30131bc3-a0f7-4cfc-9e4d-552b325c0ba7,Radna,763,a2ce7e6f-0f99-443a-a973-81a0b9c60261,Astra
cf94d70f-d211-4625-9037-014514562aa9,Lanišče,476b2caa-710a-47fe-9743-4d75d7ada5fb,Čebelarska,4366,6efecef0-52ba-4a47-9991-9bab5ce31340,Ajdovščina
99b82632-116f-421b-9320-d5a53e522155,Podpeč,30131bc3-a0f7-4cfc-9e4d-552b325c0ba7,Radna,5001,TIMEOUT,TIMEOUT
3f01eb40-651e-4fad-aff9-2ee27f259f64,Kozler,87415b6b-7e7f-4b82-b78f-ef1a7db85282,MALI LIPOGLAV,5001,TIMEOUT,TIMEOUT
